,SAMPLE_ID,AVG_SEED_WEIGHT,SumOfAvgDiam.mm.,HT,RWD,POP_ID,Days,SPECIES,TOTALEAFWEIGHT,SLA.TOT,S.RL,TotWD,RMR,TotLDW,TotLWS,LDMC
188,PLPA_UTNE_BWR_11_H2_B,0.1,0.2774,6.5,3.00E-04,PLPA_UTNE_BW,2,PLPA,0.0051,7.049164467,15.16706522,0.0054,0.055555556,0.0051,0.0799,0.063829787
189,PLPA_UTNE_BWR_11_H2_R,0.1,0.3208,5.6,7.00E-04,PLPA_UTNE_BW,2,PLPA,0.0058,11.19993821,39.57373435,0.0065,0.107692308,0.0058,0.0805,0.072049689
190,PLPA_UTSC_BTR_1_H1_B,0.1,0.2688,2.4,0,PLPA_UTSC_BT,1,PLPA,0,NA,NA,0,NA,0,0.0094,NA
191,PLPA_UTSC_BTR_1_H1_R,0.1,0.2976,2.5,8.00E-04,PLPA_UTSC_BT,1,PLPA,8.00E-04,3.052153676,43.38794791,0.0016,0.5,8.00E-04,0.0086,0.093023256
192,PLPA_UTSC_BTR_2_H1_B,0.1,0.3214,2.4,0,PLPA_UTSC_BT,1,PLPA,0,NA,NA,0,NA,0,0.0089,NA
193,PLPA_UTSC_BTR_2_H1_R,0.1,0.2664,2.2,0,PLPA_UTSC_BT,1,PLPA,0,NA,NA,0,NA,0,0.0059,NA
194,PLPA_UTSC_BTR_4_H3_R,0.1,0.3207,5,0.0087,PLPA_UTSC_BT,3,PLPA,0.0587,24.61246892,23.96020293,0.0674,0.129080119,0.0587,0.3328,0.176382212
195,PLPA_UTSC_BTR_5_H2_R,0.1,0.2956,3,0,PLPA_UTSC_BT,2,PLPA,0.0022,6.590378048,NA,0.0022,NA,0.0022,0.0223,0.098654709
196,PLPA_UTSC_BTR_6_H2_R,0.1,0.3229,4.2,0.0011,PLPA_UTSC_BT,2,PLPA,0.0018,3.368515607,116.9603079,0.0029,0.379310345,0.0018,0.0251,0.071713147
197,PLPA_UTSC_BTR_7_H3_B,0.1,0.5928,5.3,0.0038,PLPA_UTSC_BT,3,PLPA,0.0327,13.28657974,13.93058901,0.0365,0.104109589,0.0327,0.2248,0.145462633
198,PLPA_UTSC_BTR_9_H2_R,0.1,0.3149,3.5,4.00E-04,PLPA_UTSC_BT,2,PLPA,0.0037,7.878542683,39.32595316,0.0041,0.097560976,0.0037,0.0409,0.090464548
199,PLPA_UTSC_BTR_10_H2_R,0.1,0.2884,2,NA,PLPA_UTSC_BT,2,PLPA,0.0025,7.847076179,NA,0.0025,NA,0.0025,0.029,0.086206897
200,PLPA_UTSW_HR_1_H1_B,0.1,0.2585,1.8,0,PLPA_UTSW_HR,1,PLPA,7.00E-04,2.99721687,NA,7.00E-04,NA,7.00E-04,0.006,0.116666667
201,PLPA_UTSW_HR_1_H1_R,0.1,0.2851,1.6,3.00E-04,PLPA_UTSW_HR,1,PLPA,0,NA,35.21002782,3.00E-04,1,0,0.0049,NA
202,PLPA_UTSW_HR_2_H1_B,0.1,0.2539,1.5,0,PLPA_UTSW_HR,1,PLPA,1.00E-04,0.865800866,NA,1.00E-04,NA,1.00E-04,0.0053,0.018867925
203,PLPA_UTSW_HR_2_H1_R,0.1,0.2578,2.9,0,PLPA_UTSW_HR,1,PLPA,0,NA,NA,0,NA,0,0.0062,NA
204,PLPA_UTSW_HR_5_H2_B,0.1,0.2704,2.6,0.001,PLPA_UTSW_HR,2,PLPA,0.0015,6.910850035,44.52439046,0.0025,0.4,0.0015,0.0155,0.096774194
205,PLPA_UTSW_HR_6_H2_B,0.1,0.253,3.4,0,PLPA_UTSW_HR,2,PLPA,0.0018,5.83600817,NA,0.0018,NA,0.0018,0.0141,0.127659574
206,PLPA_UTSW_HR_9_H2_B,0.1,0.2676,3.5,0,PLPA_UTSW_HR,2,PLPA,0.0021,8.70791176,NA,0.0026,NA,0.0026,0.0101,0.257425743
207,PLPA_UTSW_HR_10_H2_R,0.1,0.2732,3.4,9.00E-04,PLPA_UTSW_HR,2,PLPA,8.00E-04,1.0811103,72.88924884,0.0018,0.5,9.00E-04,0.021,0.042857143
208,PLPA_UTSW_HR_18_H3_R,0.1,0.2687,4.2,0.0015,PLPA_UTSW_HR,3,PLPA,0.0153,12.68856619,26.24924533,0.0168,0.089285714,0.0153,0.1134,0.134920635
